0,88
1,141
2,102
3,108
4,78
5,56
7,65
8,39
9,120
10,85
11,121
12,40
13,42
14,124
15,205
16,44
17,293
18,326
19,69
20,71
21,90
22,104
23,130
24,130
25,93
26,212
27,79
28,29
29,30
30,80
31,60
32,61
33,84
34,35
36,180
37,137
38,199
6,65
6,138
39,120
39,285
40,122
41,67
42,99
43,224
45,186
45,46
46,47
46,144
48,89
49,72
49,73
49,170
51,75
52,107
53,299
54,175
55,132
56,95
57,195
58,157
59,114
60,96
60,115
61,116
62,160
34,117
63,164
63,64
63,119
64,183
64,119
40,121
66,122
66,139
67,86
67,221
42,184
43,125
43,204
44,226
45,167
68,209
69,70
69,188
70,168
71,72
71,145
72,170
50,211
50,231
74,127
51,91
76,77
77,78
77,174
78,152
79,94
81,133
56,154
82,113
82,114
83,96
83,135
83,158
84,160
34,242
65,219
85,98
85,287
87,126
88,100
88,140
89,210
89,248
90,127
90,146
75,105
51,75
51,147
91,129
91,147
92,109
92,93
92,150
94,194
80,132
81,153
81,111
95,111
96,196
61,159
84,215
34,366
97,136
97,162
97,181
99,123
99,202
100,126
100,140
101,142
101,143
102,103
102,169
103,169
103,145
105,128
106,107
108,148
93,235
110,151
94,337
80,238
111,176
95,315
112,113
114,177
117,161
119,182
120,286
121,267
124,125
125,270
126,224
127,252
104,146
104,128
128,171
105,172
106,129
129,254
106,190
107,190
108,256
131,173
131,149
131,312
93,363
133,259
113,177
134,178
134,135
115,240
115,197
116,197
118,283
136,137
137,198
119,164
120,285
98,347
122,220
122,268
123,165
124,223
140,246
141,207
141,142
143,166
144,187
144,273
147,253
107,391
130,191
130,334
148,192
148,280
149,193
150,313
150,235
151,212
151,500
133,338
133,153
154,155
155,214
156,239
112,157
135,340
116,342
161,179
161,216
136,181
163,198
164,164
138,183
138,218
139,200
165,245
123,201
167,187
168,247
169,250
145,329
146,233
149,311
173,396
152,174
174,236
152,337
175,434
175,301
153,260
176,260
176,315
157,239
177,178
159,241
160,241
179,216
162,180
162,181
182,217
183,265
184,202
184,288
185,353
185,185
167,228
188,230
189,249
170,330
171,233
171,172
172,297
191,255
191,279
192,193
192,280
193,257
173,312
194,237
132,238
132,259
154,316
195,214
195,239
196,317
196,240
180,244
198,262
164,199
164,264
201,245
201,269
202,269
203,223
185,324
205,226
205,408
206,227
207,227
207,290
208,291
186,208
186,272
187,292
209,229
209,327
188,247
210,248
210,249
211,277
211,296
190,331
212,336
194,433
213,237
197,318
160,525
160,215
181,305
199,264
218,219
218,266
200,268
200,371
221,371
221,446
222,372
223,351
224,289
185,225
226,385
229,294
229,357
188,275
231,359
231,276
232,278
234,332
235,363
237,300
214,339
178,418
240,240
241,343
215,344
242,282
242,366
216,419
216,216
216,243
244,261
164,284
217,306
219,266
246,289
246,324
227,466
228,307
228,292
230,294
230,275
248,309
249,377
250,468
250,469
251,358
252,310
233,252
253,254
253,297
254,331
258,362
236,397
236,379
238,303
239,456
263,420
217,321
268,383
245,349
269,350
271,409
273,308
273,292
274,327
247,328
276,295
276,590
277,296
256,361
256,280
257,427
257,394
259,303
260,338
260,380
281,343
282,344
283,319
262,440
262,320
264,367
284,321
265,322
265,266
266,461
286,346
286,370
287,370
287,382
267,348
267,422
288,373
288,323
270,425
291,291
272,355
293,308
293,375
275,328
247,247
278,360
278,310
298,334
299,392
299,413
302,303
304,341
282,345
216,437
261,319
261,381
284,485
306,322
306,443
285,402
285,346
270,351
270,384
289,352
291,374
272,325
292,307
308,356
294,328
309,388
309,377
296,360
297,390
280,393
311,394
311,395
313,362
314,336
300,502
300,398
315,364
316,364
316,339
317,341
321,368
322,369
324,352
307,386
326,375
326,450
327,387
247,376
330,359
310,411
332,494
332,378
333,378
334,412
312,453
335,428
313,454
336,431
337,415
303,417
315,435
340,418
340,477
318,365
318,342
342,343
344,480
319,381
347,382
347,403
348,403
349,372
349,350
323,350
323,373
352,539
353,407
354,449
355,386
329,358
358,410
359,645
360,590
360,411
331,391
361,414
312,395
337,433
338,475
339,874
365,399
343,554
344,345
345,345
345,366
367,401
368,441
368,442
346,506
370,421
348,444
371,536
373,406
351,447
375,491
357,387
357,467
377,468
363,571
363,429
364,476
382,533
372,446
351,424
384,424
353,540
385,409
385,511
374,449
374,426
386,589
376,566
376,388
389,390
361,545
361,393
393,452
395,497
396,453
396,597
397,432
397,455
379,455
379,415
398,416
398,502
380,521
380,522
341,478
400,437
381,481
401,484
402,461
404,423
383,464
383,405
350,562
373,488
406,447
384,448
407,408
408,640
409,465
387,450
388,686
410,568
359,410
411,513
378,412
378,514
412,470
392,516
392,517
413,414
413,517
362,428
362,454
415,501
418,573
399,524
419,526
381,457
420,483
421,462
421,463
422,423
423,558
425,636
425,637
407,563
387,492
391,615
391,494
414,496
393,518
394,519
428,570
429,430
429,571
431,520
431,471
417,434
434,666
417,473
435,476
435,522
436,479
419,504
438,439
438,458
440,528
441,442
442,486
443,486
443,487
402,634
402,532
403,534
403,508
422,509
445,510
406,488
406,489
447,489
424,538
424,448
448,538
426,614
426,589
451,594
427,546
427,519
453,597
454,616
433,501
456,551
456,550
437,504
437,655
457,458
439,527
439,505
459,529
460,529
441,485
461,531
462,507
444,508
444,535
464,560
446,537
449,564
449,614
450,542
467,492
469,644
469,512
470,544
452,518
452,546
471,499
471,520
455,622
472,548
474,475
475,549
476,599
477,523
477,574
478,523
478,503
479,480
345,480
345,1056
457,656
482,578
484,580
484,530
486,556
461,633
463,463
463,533
488,489
465,511
465,587
466,588
466,684
490,490
490,641
492,542
468,567
493,512
493,568
494,593
495,516
496,545
496,663
497,744
497,597
498,954
499,500
499,618
500,747
501,598
502,548
503,524
479,479
483,605
485,555
506,507
509,535
509,585
446,610
490,564
512,644
515,595
516,662
518,596
502,624
522,599
523,653
524,576
479,525
525,602
526,671
526,577
504,627
458,527
505,527
505,628
528,579
483,580
530,555
485,581
531,582
506,532
532,634
533,583
508,607
535,584
536,561
510,680
510,586
537,586
538,763
539,638
540,681
511,612
541,684
513,591
513,569
543,569
514,544
544,595
546,649
547,617
520,618
521,549
521,706
551,552
551,874
503,691
503,553
479,480
529,659
556,632
557,582
531,633
534,606
534,607
558,585
559,560
560,608
561,661
539,637
540,639
540,779
564,613
542,642
565,566
566,686
543,823
543,646
