parameter,value
Number of nodes,1307.0
Number of edges,1664.0
Average edge angle (degrees),162.315
Median edge angle (degrees),88.263
Average degree,2.54629
Network diameter,65.0
Graph density,0.00195
Global efficiency,0.05727
Assortativity coefficient,-0.06382
Average clustering coefficient,0.02757
Average betweenness centrality,0.01813
Average eigenvector centrality,0.00661
Average closeness centrality,0.04144
