parameter,value
Number of nodes,1273.0
Number of edges,1480.0
Average edge angle (degrees),166.516
Median edge angle (degrees),90.0
Average degree,2.32522
Network diameter,73.0
Graph density,0.00183
Global efficiency,0.04703
Assortativity coefficient,-0.16147
Average clustering coefficient,0.02456
Average betweenness centrality,0.02366
Average eigenvector centrality,0.00384
Average closeness centrality,0.03279
