parameter,value
Number of nodes,1104.0
Number of edges,1420.0
Average edge angle (degrees),170.013
Median edge angle (degrees),90.0
Average degree,2.57246
Network diameter,57.0
Graph density,0.00233
Global efficiency,0.06203
Assortativity coefficient,-0.09374
Average clustering coefficient,0.01721
Average betweenness centrality,0.01974
Average eigenvector centrality,0.00812
Average closeness centrality,0.04508
