parameter,value
Number of nodes,1018.0
Number of edges,1296.0
Average edge angle (degrees),183.423
Median edge angle (degrees),273.471
Average degree,2.54617
Network diameter,58.0
Graph density,0.0025
Global efficiency,0.06312
Assortativity coefficient,-0.07979
Average clustering coefficient,0.02325
Average betweenness centrality,0.02107
Average eigenvector centrality,0.00978
Average closeness centrality,0.04577
