parameter,value
Number of nodes,1196.0
Number of edges,1474.0
Average edge angle (degrees),150.897
Median edge angle (degrees),80.12
Average degree,2.46488
Network diameter,64.0
Graph density,0.00206
Global efficiency,0.05497
Assortativity coefficient,-0.10303
Average clustering coefficient,0.01686
Average betweenness centrality,0.0211
Average eigenvector centrality,0.00537
Average closeness centrality,0.03898
