parameter,value
Number of nodes,1457.0
Number of edges,1911.0
Average edge angle (degrees),167.611
Median edge angle (degrees),90.0
Average degree,2.6232
Network diameter,67.0
Graph density,0.0018
Global efficiency,0.0553
Assortativity coefficient,-0.08154
Average clustering coefficient,0.02306
Average betweenness centrality,0.01705
Average eigenvector centrality,0.00484
Average closeness centrality,0.03964
