parameter,value
Number of nodes,567.0
Number of edges,696.0
Average edge angle (degrees),155.143
Median edge angle (degrees),83.66
Average degree,2.45503
Network diameter,41.0
Graph density,0.00434
Global efficiency,0.08266
Assortativity coefficient,-0.08213
Average clustering coefficient,0.01029
Average betweenness centrality,0.02825
Average eigenvector centrality,0.01391
Average closeness centrality,0.06054
