parameter,value
Number of nodes,927.0
Number of edges,1149.0
Average edge angle (degrees),182.628
Median edge angle (degrees),274.399
Average degree,2.47896
Network diameter,58.0
Graph density,0.00268
Global efficiency,0.06359
Assortativity coefficient,-0.13454
Average clustering coefficient,0.016
Average betweenness centrality,0.02342
Average eigenvector centrality,0.00881
Average closeness centrality,0.04502
