parameter,value
Number of nodes,1318.0
Number of edges,1748.0
Average edge angle (degrees),154.194
Median edge angle (degrees),84.289
Average degree,2.6525
Network diameter,59.0
Graph density,0.00201
Global efficiency,0.0576
Assortativity coefficient,-0.07253
Average clustering coefficient,0.02979
Average betweenness centrality,0.01798
Average eigenvector centrality,0.00821
Average closeness centrality,0.04143
