parameter,value
Number of nodes,511.0
Number of edges,634.0
Average edge angle (degrees),179.525
Median edge angle (degrees),272.232
Average degree,2.48141
Network diameter,85.0
Graph density,0.00487
Global efficiency,0.06091
Assortativity coefficient,0.07549
Average clustering coefficient,0.05643
Average betweenness centrality,0.0539
Average eigenvector centrality,0.01563
Average closeness centrality,0.03698
