parameter,value
Number of nodes,1391.0
Number of edges,1777.0
Average edge angle (degrees),160.497
Median edge angle (degrees),85.426
Average degree,2.555
Network diameter,64.0
Graph density,0.00184
Global efficiency,0.05397
Assortativity coefficient,-0.0691
Average clustering coefficient,0.03091
Average betweenness centrality,0.01819
Average eigenvector centrality,0.00463
Average closeness centrality,0.03907
