parameter,value
Number of nodes,539.0
Number of edges,615.0
Average edge angle (degrees),129.65
Median edge angle (degrees),68.199
Average degree,2.282
Network diameter,67.0
Graph density,0.00424
Global efficiency,0.06412
Assortativity coefficient,-0.17708
Average clustering coefficient,0.0235
Average betweenness centrality,0.04653
Average eigenvector centrality,0.01341
Average closeness centrality,0.03955
