parameter,value
Number of nodes,667.0
Number of edges,846.0
Average edge angle (degrees),160.213
Median edge angle (degrees),86.727
Average degree,2.53673
Network diameter,66.0
Graph density,0.00381
Global efficiency,0.05654
Assortativity coefficient,0.02195
Average clustering coefficient,0.04598
Average betweenness centrality,0.04101
Average eigenvector centrality,0.00923
Average closeness centrality,0.03628
