parameter,value
Number of nodes,1500.0
Number of edges,2052.0
Average edge angle (degrees),153.174
Median edge angle (degrees),84.918
Average degree,2.736
Network diameter,67.0
Graph density,0.00183
Global efficiency,0.05149
Assortativity coefficient,0.05715
Average clustering coefficient,0.03429
Average betweenness centrality,0.0181
Average eigenvector centrality,0.00351
Average closeness centrality,0.03638
