parameter,value
Number of nodes,371.0
Number of edges,467.0
Average edge angle (degrees),149.602
Median edge angle (degrees),79.315
Average degree,2.51752
Network diameter,60.0
Graph density,0.0068
Global efficiency,0.07244
Assortativity coefficient,0.01957
Average clustering coefficient,0.07323
Average betweenness centrality,0.06199
Average eigenvector centrality,0.01282
Average closeness centrality,0.04347
