parameter,value
Number of nodes,263.0
Number of edges,323.0
Average edge angle (degrees),160.726
Median edge angle (degrees),79.046
Average degree,2.45627
Network diameter,58.0
Graph density,0.00938
Global efficiency,0.08731
Assortativity coefficient,0.03299
Average clustering coefficient,0.0526
Average betweenness centrality,0.0747
Average eigenvector centrality,0.02621
Average closeness centrality,0.05129
