parameter,value
Number of nodes,598.0
Number of edges,771.0
Average edge angle (degrees),160.089
Median edge angle (degrees),86.186
Average degree,2.5786
Network diameter,79.0
Graph density,0.00432
Global efficiency,0.05791
Assortativity coefficient,0.03902
Average clustering coefficient,0.051
Average betweenness centrality,0.04782
Average eigenvector centrality,0.01008
Average closeness centrality,0.03488
