parameter,value
Number of nodes,1356.0
Number of edges,1754.0
Average edge angle (degrees),165.608
Median edge angle (degrees),87.274
Average degree,2.58702
Network diameter,61.0
Graph density,0.00191
Global efficiency,0.0563
Assortativity coefficient,-0.09637
Average clustering coefficient,0.02706
Average betweenness centrality,0.01769
Average eigenvector centrality,0.00549
Average closeness centrality,0.041
