parameter,value
Number of nodes,932.0
Number of edges,1105.0
Average edge angle (degrees),165.126
Median edge angle (degrees),85.236
Average degree,2.37124
Network diameter,52.0
Graph density,0.00255
Global efficiency,0.06285
Assortativity coefficient,-0.14296
Average clustering coefficient,0.01448
Average betweenness centrality,0.02298
Average eigenvector centrality,0.00965
Average closeness centrality,0.04592
