parameter,value
Number of nodes,911.0
Number of edges,1123.0
Average edge angle (degrees),156.319
Median edge angle (degrees),85.601
Average degree,2.46542
Network diameter,57.0
Graph density,0.00271
Global efficiency,0.06485
Assortativity coefficient,-0.12099
Average clustering coefficient,0.02408
Average betweenness centrality,0.02298
Average eigenvector centrality,0.00727
Average closeness centrality,0.04678
