parameter,value
Number of nodes,516.0
Number of edges,639.0
Average edge angle (degrees),171.737
Median edge angle (degrees),90.0
Average degree,2.47674
Network diameter,59.0
Graph density,0.00481
Global efficiency,0.06554
Assortativity coefficient,0.04609
Average clustering coefficient,0.05297
Average betweenness centrality,0.04446
Average eigenvector centrality,0.00934
Average closeness centrality,0.04316
