Source,Target,Weight,Length
0,6,1.2165525060596438,39.44927141309621
1,9,0.5099019513592784,6.82842712474619
2,7,0.1,10.478708664619074
2,10,0.7211102550927978,9.43397840021018
3,4,0.3,6.0
3,14,0.31622776601683794,14.242640687119284
4,14,0.1414213562373095,18.779271744364845
5,12,0.282842712474619,18.313708498984763
5,18,0.42426406871192845,22.135562914111457
6,8,0.6708203932499369,6.23606797749979
6,15,0.223606797749979,13.307135789365265
8,17,0.41231056256176607,12.06449510224598
9,22,0.3605551275463989,51.54977647648455
9,52,0.5,52.21320343559642
10,21,0.282842712474619,18.55634918610405
10,16,0.223606797749979,39.38477631085023
11,13,0.4,4.0
11,24,0.41231056256176607,14.656854249492383
12,14,0.1414213562373095,11.82842712474619
12,18,0.41231056256176607,3.414213562373095
13,20,0.3605551275463989,10.65685424949238
14,30,0.31622776601683794,16.233345472033857
15,16,0.8246211251235321,3.414213562373095
15,17,0.41231056256176607,8.650281539872886
16,19,0.6,6.0
17,63,0.4,36.14213562373095
18,30,0.282842712474619,16.135562914111457
19,34,0.1414213562373095,10.478708664619074
19,33,0.31622776601683794,9.886349517372675
20,27,0.5,6.06449510224598
20,24,0.1414213562373095,5.99070478491457
21,23,0.41231056256176607,24.064495102245978
21,26,0.6,5.0
22,53,0.41231056256176607,22.30056307974577
23,29,0.31622776601683794,20.72134935173836
23,25,0.5385164807134504,4.414213562373095
24,41,0.41231056256176607,11.414213562373096
25,29,0.223606797749979,9.16227766016838
25,37,0.31622776601683794,24.498473502456157
26,39,0.5,9.89292222699217
26,37,0.1,9.242640687119286
27,40,0.31622776601683794,8.82842712474619
28,36,0.0,7.478708664619075
28,45,0.223606797749979,18.30713578936527
29,49,0.223606797749979,13.886349517372675
30,62,0.31622776601683794,27.96399003885765
31,32,0.223606797749979,31.37820360123074
31,54,0.5099019513592784,15.485281374238571
31,38,0.447213595499958,8.06449510224598
32,35,1.2649110640673518,3.414213562373095
33,34,2.9,3.0
33,43,0.31622776601683794,10.071067811865476
34,43,0.31622776601683794,9.65685424949238
35,38,0.41231056256176607,14.242640687119287
36,45,0.223606797749979,8.242640687119286
37,42,1.0770329614269007,5.60555127546399
37,58,0.223606797749979,10.951532750363853
38,46,0.4,7.0
39,86,1.063014581273465,52.870057685088796
39,42,0.282842712474619,6.656854249492381
40,41,0.1414213562373095,7.414213562373095
40,48,0.3,5.414213562373095
41,56,0.3,7.650281539872885
42,58,0.223606797749979,8.82842712474619
43,86,0.223606797749979,39.384776310850235
44,55,0.5385164807134504,5.82842712474619
44,49,0.41231056256176607,8.82842712474619
45,69,0.1414213562373095,18.071067811865476
46,50,0.31622776601683794,5.23606797749979
46,70,0.5099019513592784,19.549776476484553
47,59,0.1414213562373095,10.06449510224598
48,68,0.31622776601683794,24.899494936611667
48,51,0.1414213562373095,3.414213562373095
49,57,0.5099019513592784,4.414213562373095
50,54,0.223606797749979,4.82842712474619
51,68,0.2,9.82842712474619
51,56,0.4,7.0
52,76,0.8062257748298549,72.94112549695429
52,53,0.2,7.0
53,72,0.282842712474619,12.307135789365265
54,64,0.4,7.0
55,66,0.1414213562373095,11.65685424949238
56,109,0.9486832980505138,40.28427124746189
57,74,0.565685424949238,21.31370849898476
57,66,0.0,7.4787086646190755
58,84,0.41231056256176607,19.72134935173836
59,65,0.223606797749979,4.82842712474619
59,71,0.1414213562373095,9.242640687119286
60,69,0.223606797749979,4.82842712474619
61,62,0.1414213562373095,7.414213562373095
62,80,0.31622776601683794,12.071067811865476
63,73,0.4,5.0
64,72,0.5099019513592784,19.071067811865476
64,70,0.223606797749979,6.650281539872885
65,75,0.4,6.0
66,74,0.31622776601683794,23.135562914111453
67,71,0.41231056256176607,9.23606797749979
67,82,0.282842712474619,35.028485141103616
68,82,0.3605551275463989,18.242640687119284
69,83,0.31622776601683794,40.79241716360383
70,91,0.565685424949238,29.14213562373095
71,75,0.31622776601683794,12.65685424949238
72,78,0.5385164807134504,4.82842712474619
73,81,0.0,6.06449510224598
73,87,0.41231056256176607,16.307135789365265
74,85,0.1414213562373095,11.307135789365265
76,78,0.3,15.478708664619077
77,79,0.3,6.0
78,93,0.31622776601683794,12.89292222699217
79,89,0.2,9.0
80,83,0.31622776601683794,6.414213562373095
80,129,0.31622776601683794,29.37820360123074
81,108,0.42426406871192845,27.31370849898476
81,87,0.282842712474619,7.478708664619075
83,88,0.1,6.0
84,85,0.5,4.0
84,98,0.223606797749979,14.06449510224598
86,99,0.31622776601683794,9.06449510224598
87,96,0.6,8.0
88,105,0.8602325267042626,23.899494936611667
89,109,0.223606797749979,11.65685424949238
89,104,0.31622776601683794,39.14213562373095
90,92,0.9219544457292888,9.23606797749979
90,97,0.282842712474619,17.48528137423857
90,94,0.4,5.0
91,93,2.0615528128088303,4.414213562373095
91,95,0.1414213562373095,5.242640687119286
92,94,0.447213595499958,9.82842712474619
93,103,0.3,7.0
94,100,0.447213595499958,4.82842712474619
95,142,0.31622776601683794,27.72134935173836
95,106,0.282842712474619,5.82842712474619
96,117,0.3605551275463989,14.071067811865476
96,122,0.5830951894845301,12.313708498984763
97,100,0.8,4.0
97,113,0.3,5.0
98,155,0.3605551275463989,39.03505785072312
98,107,0.31622776601683794,8.414213562373096
98,116,0.1,5.0
99,101,0.9,3.0
99,108,0.41231056256176607,15.990704784914572
100,112,0.4,5.0
101,107,0.41231056256176607,22.48528137423857
101,115,1.708800749063506,5.650281539872885
102,124,0.223606797749979,31.79898987322333
102,137,0.31622776601683794,29.727922061357855
102,131,0.7211102550927978,14.89292222699217
103,114,0.6082762530298219,16.48528137423857
103,106,2.3,4.0
104,105,0.4,6.0
104,138,0.3605551275463989,16.313708498984763
105,125,0.31622776601683794,8.414213562373096
106,135,0.31622776601683794,14.06449510224598
107,119,0.5,5.0
108,117,0.3605551275463989,12.22677276241436
108,128,0.31622776601683794,27.96399003885765
