parameter,value
Number of nodes,8615.0
Number of edges,15308.0
Average edge angle (degrees),172.225
Median edge angle (degrees),104.036
Average degree,3.5538
Network diameter,119.0
Graph density,0.00041
Global efficiency,0.03326
Assortativity coefficient,-0.07643
Average clustering coefficient,0.16826
Average betweenness centrality,0.00492
Average eigenvector centrality,0.00123
Average closeness centrality,0.02363
