parameter,value
Number of nodes,8165.0
Number of edges,13440.0
Average edge angle (degrees),140.686
Median edge angle (degrees),79.695
Average degree,3.2921
Network diameter,122.0
Graph density,0.0004
Global efficiency,0.03129
Assortativity coefficient,-0.05537
Average clustering coefficient,0.15245
Average betweenness centrality,0.00556
Average eigenvector centrality,0.00084
Average closeness centrality,0.02212
