parameter,value
Number of nodes,8619.0
Number of edges,15281.0
Average edge angle (degrees),161.13
Median edge angle (degrees),90.0
Average degree,3.54589
Network diameter,118.0
Graph density,0.00041
Global efficiency,0.03286
Assortativity coefficient,-0.07539
Average clustering coefficient,0.17544
Average betweenness centrality,0.00501
Average eigenvector centrality,0.00116
Average closeness centrality,0.02324
