parameter,value
Number of nodes,8269.0
Number of edges,15490.0
Average edge angle (degrees),155.683
Median edge angle (degrees),90.0
Average degree,3.74652
Network diameter,104.0
Graph density,0.00045
Assortativity coefficient,-0.10118
Average clustering coefficient,0.20502
Average betweenness centrality,0.00466
Average eigenvector centrality,0.00082
Average closeness centrality,0.02595
