Dim.,FD
665.0,2.0986381211560263
655.0,2.146283472866738
655.0,2.130822962512988
655.0,2.110482666153071
655.0,2.116919766897357
655.0,2.1212236188602525
655.0,2.1513664391818046
655.0,2.1213759686212947
655.0,2.1382858714634936
655.0,2.1228773953489473
655.0,2.1186471209573905
589.0,2.174197707400216
589.0,2.1563472382128612
589.0,2.1682361326303474
589.0,2.1891919349277904
589.0,2.1492618904442926
589.0,2.1623421394822797
589.0,2.1348845693781664
589.0,2.158218757650129
589.0,2.161866271578981
589.0,2.171247707963565
524.0,2.1858150621998145
524.0,2.180788445209621
524.0,2.1911892155058807
524.0,2.1715474762715616
524.0,2.183879122959804
524.0,2.1629459005389906
524.0,2.1880411594481313
524.0,2.182217876009606
524.0,2.174031781070925
524.0,2.184510445885177
458.0,2.108307131616409
458.0,2.085925224179436
458.0,2.0835409705777543
458.0,2.0997957646377885
458.0,2.1183326825170457
458.0,2.09583869784959
458.0,2.0837756590439556
458.0,2.109612642782535
458.0,2.0607399817554617
458.0,2.06581702677916
393.0,2.129188513379128
393.0,2.0935065511661395
393.0,2.116624226837326
393.0,2.1261645434503045
393.0,2.102151247339611
393.0,2.1189436690399903
393.0,2.116832671837415
393.0,2.109018952617986
393.0,2.1144353825706723
393.0,2.111919607598843
327.0,2.174000338794425
327.0,2.1476666352924716
327.0,2.149160523549386
327.0,2.13090666713438
327.0,2.168615380169004
327.0,2.181169958617812
327.0,2.2081451997729404
327.0,2.1451879511012786
327.0,2.1512993283371618
327.0,2.1478473564152774
262.0,2.203120373427615
262.0,2.229544462775836
262.0,2.2117499945252836
262.0,2.185370536816294
262.0,2.233563514189039
262.0,2.237696104398951
262.0,2.2428765673240005
262.0,2.2061209504593147
262.0,2.2402461967302347
262.0,2.239578119431766
196.0,2.1414350232458634
196.0,2.12695840504572
196.0,2.1351416949953506
196.0,2.155361099979263
196.0,2.1366479522487225
196.0,2.149256875227382
196.0,2.1334079415956038
196.0,2.149728456748966
196.0,2.1349227293493502
196.0,2.104922237828497
130.0,2.263551266771273
130.0,2.27025838222974
130.0,2.2864551130245507
130.0,2.253752069842704
130.0,2.237176305739492
130.0,2.2888309900747736
130.0,2.27008123272735
130.0,2.2664467911506936
130.0,2.2441607097733027
130.0,2.2675953288164283
65.0,2.3751733803466513
65.0,2.325469666141272
65.0,2.337047748297749
65.0,2.2975771251008816
65.0,2.344172917380017
65.0,2.4005142492962275
65.0,2.356971323859673
65.0,2.3658288780779206
65.0,2.3620552992251493
65.0,2.3414566304083113
