Dim.,FD
665.0,2.096079050806944
655.0,2.138769302075747
655.0,2.116389482857401
655.0,2.136924700826734
655.0,2.114648103596041
655.0,2.12070079488004
655.0,2.1197396361364267
655.0,2.150380484128966
655.0,2.1422591197288865
655.0,2.116449220489852
655.0,2.1201900687320263
589.0,2.134762416832073
589.0,2.1557585980544394
589.0,2.1052258581802397
589.0,2.1075349047663807
589.0,2.169765175358263
589.0,2.1619511696136984
589.0,2.116931889118258
589.0,2.135960427378386
589.0,2.1436338713375482
589.0,2.1533278925465615
524.0,2.1952899545814093
524.0,2.1990345277778656
524.0,2.185029299190092
524.0,2.1800174830950203
524.0,2.184771947715231
524.0,2.1806644432569846
524.0,2.1913074105730272
524.0,2.1793756238967976
524.0,2.1806570086652033
524.0,2.182233008082305
458.0,2.1109440482995336
458.0,2.076552343716509
458.0,2.0729162818023457
458.0,2.095269452998307
458.0,2.075384065229715
458.0,2.0884188949677758
458.0,2.0742533320030137
458.0,2.1159266741899283
458.0,2.083913234819113
458.0,2.094175952072611
393.0,2.1066354879307028
393.0,2.1132870079661674
393.0,2.107623565700351
393.0,2.111640858447081
393.0,2.117517467405524
393.0,2.117789005399865
393.0,2.116410017470178
393.0,2.1079252089874823
393.0,2.113724168396276
393.0,2.1156064074379386
327.0,2.1650271875643963
327.0,2.1744522083030797
327.0,2.1552941264825467
327.0,2.1336639526905445
327.0,2.1572590499033026
327.0,2.1492243485651996
327.0,2.1474298622474786
327.0,2.1330312432205063
327.0,2.1686405374716577
327.0,2.1650483281472965
262.0,2.2146122897638882
262.0,2.215235084732869
262.0,2.19528152004057
262.0,2.225985815385819
262.0,2.2404206710831827
262.0,2.2211112479335693
262.0,2.241240443498096
262.0,2.222636678309317
262.0,2.193987005503937
262.0,2.206386962913427
196.0,2.1440494373239316
196.0,2.1297084412183613
196.0,2.1059833437802404
196.0,2.110995564032195
196.0,2.1529989232776865
196.0,2.0988905260149013
196.0,2.1525937732922706
196.0,2.1541903308374084
196.0,2.1231969656749583
196.0,2.1097790858091843
130.0,2.2850232284969185
130.0,2.2394930887331332
130.0,2.293793503033205
130.0,2.3030834247297403
130.0,2.291394168387493
130.0,2.278104104848912
130.0,2.239365802537371
130.0,2.279971502045421
130.0,2.289692449811495
130.0,2.2591259482800115
65.0,2.3516978106369035
65.0,2.330643658595684
65.0,2.328021612467633
65.0,2.3430555774998973
65.0,2.3392037360414073
65.0,2.3245990527002824
65.0,2.3522339709262483
65.0,2.3397410470136033
65.0,2.343866076116511
65.0,2.332380232793738
