Dim.,FD
665.0,2.1200681786186735
655.0,2.146473255362733
655.0,2.1475939073226447
655.0,2.136577988248817
655.0,2.1212719491482637
655.0,2.1388123119345335
655.0,2.1170660729669795
655.0,2.1273507017179663
655.0,2.152220004464342
655.0,2.111245451799932
655.0,2.158529957931275
589.0,2.1593362855233655
589.0,2.189136377804879
589.0,2.179930708250621
589.0,2.1791366669892946
589.0,2.18773533581299
589.0,2.138089079898798
589.0,2.1768642814448502
589.0,2.135359803524115
589.0,2.1648882733594137
589.0,2.1483916084996153
524.0,2.2139915212975687
524.0,2.2090473854824175
524.0,2.203227052044394
524.0,2.1822413782670913
524.0,2.2013660095999907
524.0,2.1790002051352495
524.0,2.18855036470299
524.0,2.1836166293840424
524.0,2.1925337280290558
524.0,2.2034625136441126
458.0,2.114716128594454
458.0,2.1076425473287017
458.0,2.0928236868073515
458.0,2.1095852086443134
458.0,2.1020758160988504
458.0,2.0939463850519657
458.0,2.1197944515796263
458.0,2.092144725726295
458.0,2.1267447505484154
458.0,2.1112658486794635
393.0,2.1180816728645913
393.0,2.1328542510546544
393.0,2.13093029138871
393.0,2.1385735355793956
393.0,2.1260025462902132
393.0,2.1283429232920184
393.0,2.1379410012834508
393.0,2.1419897648036605
393.0,2.127724268844257
393.0,2.141762620475029
327.0,2.1834098765585686
327.0,2.1718092580403896
327.0,2.1785768624129447
327.0,2.233927967237876
327.0,2.1968906685186034
327.0,2.167062302673085
327.0,2.158043593387484
327.0,2.2078510187986913
327.0,2.167857392783802
327.0,2.164294710220914
262.0,2.2585889868398756
262.0,2.2480442625368697
262.0,2.256088304313845
262.0,2.2300735690026836
262.0,2.236805844690842
262.0,2.254374909680839
262.0,2.2527042701887345
262.0,2.2564752240518797
262.0,2.253143695081958
262.0,2.2333210891024113
196.0,2.165849103953884
196.0,2.156142342540238
196.0,2.176641719650337
196.0,2.172043158012675
196.0,2.168485077606334
196.0,2.1593659768432394
196.0,2.181001120143117
196.0,2.1401804375978015
196.0,2.173800300264954
196.0,2.153601655961111
130.0,2.304535827784333
130.0,2.313844896763984
130.0,2.3310995294419126
130.0,2.3245998451417953
130.0,2.315329186669883
130.0,2.3310502361473437
130.0,2.317752809873504
130.0,2.302914144814046
130.0,2.3138684638598863
130.0,2.32001381365021
65.0,2.3675342307297638
65.0,2.379905668395058
65.0,2.367024870400756
65.0,2.3602284814951378
65.0,2.403928936399281
65.0,2.3679809643477467
65.0,2.358911726835689
65.0,2.370602763482264
65.0,2.350019970048036
65.0,2.3745281870238846
